LSTM,CNN_LSTM,REAL_VALUE
719.569,715.829,724.85
719.28577,715.8766,723.4
718.5855,714.9131,724.0
718.28217,715.03534,728.2
720.4787,718.2575,740.45
727.69275,727.56366,736.0
730.8123,727.3274,738.65
731.18646,728.5182,735.55
731.5556,726.7758,732.75
729.3528,724.4005,734.95
728.1197,725.23694,734.55
728.3408,725.3329,734.5
728.04944,725.33655,738.0
729.4498,727.60803,737.9
731.20575,728.2342,740.05
732.57495,729.7303,738.75
733.04877,729.289,739.6
733.3782,729.6453,742.5
734.9472,731.69415,742.0
735.7498,731.99255,738.8
734.15656,729.86945,740.1
733.6999,729.9992,739.7
733.9976,729.9033,740.6
733.9289,730.4859,739.15
733.4497,729.731,738.45
732.9403,729.0036,739.4
733.1103,729.42194,737.7
732.5849,728.49115,737.8
731.94476,728.2557,737.75
731.938,728.1862,760.0
740.99,744.2613,760.3
749.5709,750.9938,767.35
754.80615,758.3885,769.0
760.3628,761.85657,768.95
763.53815,762.7348,771.1
764.6688,764.65857,773.8
766.8152,767.5597,773.05
768.0021,767.8533,775.0
768.67175,769.50305,775.45
770.0241,770.50946,773.8
770.3114,769.22284,773.6
770.013,768.5068,770.1
769.02,765.32526,770.8
768.18463,764.8519,771.15
768.0716,765.2788,772.55
768.515,766.6192,772.2
768.82983,766.79083,772.2
769.0418,766.72705,772.05
769.2541,766.5351,772.3
769.401,766.7165,772.85
769.66345,767.2829,772.8
769.86554,767.42633,773.4
770.1397,767.9588,774.0
770.62897,768.6603,773.2
770.6752,768.1724,769.95
769.3335,765.1361,770.25
768.34625,764.3345,771.5
768.5097,765.3896,772.6
768.87994,766.73773,774.0
769.653,768.40265,774.2
770.5969,769.0428,773.7
770.92426,768.6832,772.75
770.67267,767.6791,771.75
770.128,766.4904,772.0
769.71375,766.36456,772.05
769.47925,766.4625,771.5
769.1054,766.0418,771.65
768.9061,766.0084,767.85
767.4923,762.7545,768.45
766.3145,762.0571,768.3
766.01196,761.99524,769.5
766.0131,763.07135,769.25
765.9995,763.278,769.8
766.29517,763.7073,770.0
766.6672,764.012,771.65
767.39905,765.50134,772.15
768.23474,766.4038,773.35
769.104,767.66437,774.35
770.1313,768.92505,776.0
771.41266,770.87787,773.85
771.5484,769.41504,768.0
769.01306,763.7051,768.55
767.23016,762.1751,767.3
766.1975,761.03467,767.15
764.782,760.648,766.9
764.02814,760.4557,767.8
764.28357,761.13184,767.65
764.35864,761.2445,767.9
764.3903,761.44446,767.2
764.38715,760.8855,767.95
764.46564,761.3333,768.1
764.6034,761.6777,767.0
764.2019,760.78284,765.85
763.3351,759.432,765.8
762.7786,758.98596,765.2
762.2345,758.4086,765.5
761.83356,758.52026,765.0
761.566,758.1556,763.15
760.62213,756.32855,763.4
759.94055,755.94257,763.2
759.71625,755.77,765.25
760.1949,757.57465,765.2
760.711,758.20294,765.0
760.83716,758.0734,768.0
762.12006,760.62683,770.7
764.32574,763.8922,768.0
764.5574,762.503,767.95
764.1764,761.6578,766.15
763.82635,759.88367,764.5
762.37665,757.89264,762.9
760.5956,755.9396,763.85
760.09875,756.24854,762.9
759.5809,755.64014,761.15
758.2272,753.7966,762.45
758.09174,754.3886,763.5
758.8581,755.6639,762.95
758.8102,755.57635,762.55
758.5381,755.0848,762.7
758.7022,755.0381,762.8
758.68335,755.1697,765.05
759.38153,757.25323,765.4
760.3411,758.28876,767.0
761.3284,759.90216,766.95
762.1306,760.32166,769.3
763.44855,762.4408,768.5
764.21765,762.4447,768.5
764.30743,762.2843,769.0
764.73047,762.6808,766.75
764.19476,760.81366,766.45
763.237,759.8982,770.7
764.57367,763.4775,766.95
764.517,761.4649,765.0
762.5965,758.73236,765.55
762.30133,758.4311,766.95
762.8936,759.8065,767.6
763.01526,760.91187,766.2
762.79926,759.93646,766.3
762.81323,759.56354,765.3
762.3956,758.64105,764.75
761.6486,757.8585,765.3
761.50726,758.1843,765.65
761.6487,758.6483,763.95
760.93835,757.2545,764.0
760.3837,756.76965,764.8
760.65485,757.4332,763.6
760.2617,756.60693,764.1
759.9116,756.74365,763.6
759.9153,756.38226,763.85
759.8007,756.47327,763.75
759.6574,756.4624,764.9
760.10547,757.475,765.9
760.8937,758.72595,767.2
761.8275,760.22626,766.65
762.33606,760.14575,768.15
763.09064,761.322,771.6
765.0823,764.7791,771.8
766.61285,766.03406,769.85
766.4924,764.5781,766.7
765.2161,761.0689,766.3
764.1023,759.6589,764.75
762.74414,758.1302,764.95
